"Name","Team","PA","wOBA","wRC+","EV","maxEV","HardHit","HardHit%","GB%","LD%","FB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","O-Contact% (pfx)","Z-Contact% (pfx)","playerid"
"Roy Howell","- - -","4181",".319","96","","","","","","","","","","","","","","","","1006104"
"Willard Brown","- - -","1724",".319","85","","","","","","","","","","","","","","","","1001568"
"Kelly Shoppach","- - -","1855",".319","96","","","0","","39.7%","16.9%","43.5%","47.6%","29.6%","22.8%","13.2%","52.1%","34.7%","39.8%","73.3%","3867"
"Roy Hughes","- - -","2877",".319","79","","","","","","","","","","","","","","","","1006161"
"Delos Drake","- - -","1283",".319","85","","","","","","","","","","","","","","","","1003477"
"Eddie Foster","- - -","6317",".319","91","","","","","","","","","","","","","","","","1004248"
"Geno Petralli","- - -","2131",".319","96","","","","","","","","","","","","","","","","1010244"
"Scott Podsednik","- - -","4346",".319","89","","","0","","50.1%","20.3%","29.6%","31.7%","34.9%","33.4%","16.8%","59.4%","23.8%","79.1%","94.8%","1095"
"Mickey Witek","- - -","2325",".319","88","","","","","","","","","","","","","","","","1014163"
"Brad Miller","- - -","2846",".319","102","90.3","113.4","564","42.2%","44.7%","19.2%","36.1%","37.3%","36.1%","26.6%","19.9%","46.1%","34.0%","58.7%","82.0%","12775"
"Hugh Bradley","- - -","1023",".319","89","","","","","","","","","","","","","","","","1001310"
"Tom McBride","- - -","1298",".319","87","","","","","","","","","","","","","","","","1008346"
"George Browne","- - -","4717",".319","100","","","","","","","","","","","","","","","","1001519"
"Butch Hobson","- - -","2799",".319","90","","","","","","","","","","","","","","","","1005872"
"Lou Chiozza","- - -","2480",".319","75","","","","","","","","","","","","","","","","1002194"
"Larry Twitchell","- - -","2758",".319","91","","","","","","","","","","","","","","","","1013243"
"Jerry Martin","- - -","2904",".319","93","","","","","","","","","","","","","","","","1008174"
"Randall Simon","- - -","1717",".319","91","","","","","51.1%","18.9%","29.9%","42.6%","29.3%","28.2%","17.8%","60.4%","21.7%","","","497"
"Ken Landreaux","- - -","4504",".319","99","","","","","","","","","","","","","","","","1007303"
"Babe Pinelli","- - -","2964",".319","81","","","","","","","","","","","","","","","","1010355"
"Tom Grieve","- - -","2093",".319","100","","","","","","","","","","","","","","","","1005035"
"Shano Collins","- - -","7036",".319","89","","","","","","","","","","","","","","","","1002466"
"Larry Bigbie","- - -","1367",".319","92","","","","","55.7%","20.7%","23.6%","38.8%","30.8%","30.4%","11.9%","63.9%","24.1%","","","128"
"Tom Padden","- - -","1319",".319","84","","","","","","","","","","","","","","","","1009943"
"David Fletcher","Angels","1190",".319","101","84.0","107.0","175","18.0%","44.8%","26.2%","29.0%","43.1%","32.0%","24.8%","18.7%","51.7%","29.6%","79.8%","95.8%","17992"
"David Ross","- - -","2644",".319","92","87.6","107.6","73","32.9%","34.0%","19.8%","46.3%","47.4%","31.2%","21.4%","16.5%","51.9%","31.6%","48.0%","76.8%","1551"
"Bennie Warren","- - -","1129",".319","91","","","","","","","","","","","","","","","","1013639"
"Ken Harvey","Royals","1078",".319","86","","","","","56.3%","18.6%","25.1%","41.6%","28.4%","30.0%","10.4%","65.8%","23.7%","","","604"
"Daryl Spencer","- - -","4206",".319","91","","","","","","","","","","","","","","","","1012321"
"Red Killefer","- - -","1794",".319","100","","","","","","","","","","","","","","","","1006907"
"Scott Hairston","- - -","2660",".318","96","","","0","","34.0%","16.8%","49.1%","49.6%","28.9%","21.5%","22.2%","49.2%","28.6%","63.3%","83.4%","1926"
"Jermaine Allensworth","- - -","1190",".318","87","","","","","","","","","","","","","","","","1000148"
"Lloyd McClendon","- - -","1375",".318","97","","","","","","","","","","","","","","","","1008394"
"Lastings Milledge","- - -","1659",".318","92","","","0","","45.5%","20.6%","33.9%","35.3%","35.0%","29.7%","19.5%","53.4%","27.0%","61.8%","85.2%","6441"
"Sam Bohne","- - -","2593",".318","82","","","","","","","","","","","","","","","","1001130"
"Barry Bonnell","- - -","3354",".318","90","","","","","","","","","","","","","","","","1001171"
"Wes Chamberlain","- - -","1352",".318","94","","","","","","","","","","","","","","","","1002126"
"Ross Gload","- - -","1819",".318","89","","","0","","44.0%","21.2%","34.8%","37.1%","33.7%","29.2%","14.7%","56.8%","28.4%","74.7%","91.1%","1538"
"Jonathan Schoop","- - -","3281",".318","98","87.6","116.0","712","35.5%","45.1%","18.8%","36.1%","45.6%","32.6%","21.7%","23.2%","45.7%","31.2%","52.6%","83.1%","11265"
"Jackie Tavener","- - -","2432",".318","73","","","","","","","","","","","","","","","","1012850"
"Bobby Byrne","- - -","5480",".318","92","","","","","","","","","","","","","","","","1001797"
"Willie Kirkland","- - -","3882",".318","96","","","","","","","","","","","","","","","","1006968"
"Tim Corcoran","- - -","1213",".318","95","","","","","","","","","","","","","","","","1002621"
"Red Ruffing","- - -","2083",".318","80","","","","","","","","","","","","","","","","1011296"
"Chris Denorfia","- - -","2385",".318","103","88.5","110.3","60","37.7%","57.3%","19.2%","23.5%","34.0%","39.9%","26.1%","17.1%","55.5%","27.4%","56.9%","87.9%","4400"
"Frank Snyder","- - -","4619",".318","89","","","","","","","","","","","","","","","","1012245"
"Jim Norris","- - -","1494",".318","95","","","","","","","","","","","","","","","","1009635"
"John Dobbs","- - -","2506",".318","97","","","","","","","","","","","","","","","","1003340"
"Jimmy Brown","- - -","3832",".318","85","","","","","","","","","","","","","","","","1001528"
"Gene Baker","- - -","2491",".318","86","","","","","","","","","","","","","","","","1000457"
"Billy Zitzmann","- - -","1142",".318","81","","","","","","","","","","","","","","","","1014456"
"Gene Freese","- - -","3784",".318","93","","","","","","","","","","","","","","","","1004328"
"Roy Hartsfield","Braves","1063",".318","86","","","","","","","","","","","","","","","","1005463"
"Bob Stinson","- - -","1918",".318","94","","","","","","","","","","","","","","","","1012544"
"Clyde Kluttz","- - -","2072",".318","84","","","","","","","","","","","","","","","","1007021"
